"state","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"ar"," "," "," "," "," "," ","X","X","X","X","X","X","X","X"," ","X","X","X","X","X","X","X","X","X"
"ca"," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," "
"ct"," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "
"ga"," "," "," "," "," "," "," "," ","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"," "
"il"," "," ","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X","X","X","X","X"," "
"in"," "," "," "," "," "," "," "," "," ","X"," ","X"," ","X","X","X","X","X","X","X","X","X","X","X"
"mo"," "," ","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"ne","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"oh"," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "
"ok"," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X"
"or"," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X"," ","X","X","X","X"," "
"pa"," "," "," "," "," "," "," ","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"va"," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ia"," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"
"nj"," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X"," ","X","X","X","X","X","X"
"wi"," "," "," "," "," "," "," ","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"ks"," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X","X"
"ny"," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"tx"," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"mi"," "," "," "," "," "," "," ","X"," "," ","X","X"," ","X","X"," "," "," "," "," "," "," "," "," "
