"id","state","leaid","name_raw","name_clean","year"
"ca1","ca",691051,"Alysse Castro","alysse castro",2022
"ca2","ca",600002,"Gina Ouellette","gina ouellette",2022
"ca3","ca",600003,"Amy Novotny","amy novotny",2022
"ca4","ca",601770,"Pasquale Scuderi","pasquale scuderi",2022
"ca5","ca",601860,"Donald Evans","donald evans",2022
"ca6","ca",604740,"Enikia Ford Morthel","enikia ford morthel",2022
"ca7","ca",607800,"Parvin Ahmadi","parvin ahmadi",2022
"ca8","ca",612630,"Quiauna Scott","quiauna scott",2022
"ca9","ca",614400,"Erik Burmeister","erik burmeister",2022
"ca10","ca",616740,"Jason Reimann","jason reimann",2022
"ca11","ca",622110,"Torie Gibson","torie gibson",2022
"ca12","ca",626130,"Tonya Arledge","tonya arledge",2022
"ca13","ca",627060,"Tracey Vackar","tracey vackar",2022
"ca14","ca",626910,"John Thompson","john thompson",2022
"ca15","ca",628050,"Kyla Johnson-Trammell","kyla johnson trammell",2022
"ca16","ca",630330,"Jennifer Hawn","jennifer hawn",2022
"ca17","ca",634680,"Mike McLaughlin","mike mclaughlin",2022
"ca18","ca",634710,"Daryl Camp","daryl camp",2022
"ca19","ca",600019,"Chris D. Funk","chris funk",2022
"ca20","ca",600020,"Maurice Ghysels","maurice ghysels",2022
"ca21","ca",600021,"Shay Galletti","shay galletti",2022
"ca22","ca",691058,"Ken Burkhart","ken burkhart",2022
"ca23","ca",602070,"Ken Burkhart","ken burkhart",2022
"ca24","ca",691001,"Torie Gibson","torie gibson",2022
"ca25","ca",602450,"Jared Critchfield","jared critchfield",2022
"ca26","ca",691002,"Mary Sakuma","mary sakuma",2022
"ca27","ca",603780,"Scott Johnson","scott johnson",2022
"ca28","ca",605040,"Doug Kaelin","doug kaelin",2022
"ca29","ca",608370,"Kelly Staley","kelly staley",2022
"ca30","ca",611730,"John Bohannon","john bohannon",2022
"ca31","ca",615480,"Joshua Peete","joshua peete",2022
"ca32","ca",623700,"Joe Lodigiani","joe lodigiani",2022
"ca33","ca",629100,"Spencer Holtom","spencer holtom",2022
"ca34","ca",629130,"Douglas Williams","douglas williams",2022
"ca35","ca",629540,"Gary Rogers","gary rogers",2022
"ca36","ca",629820,"Tom Taylor","tom taylor",2022
"ca37","ca",639180,"Gregory Blake","gregory blake",2022
"ca38","ca",630520,"Scott Johnson","scott johnson",2022
"ca39","ca",600051,"Justin Kern","justin kern",2022
"ca40","ca",691003,"Karen Vail","karen vail",2022
"ca41","ca",605940,"Scott Nanik","scott nanik",2022
"ca42","ca",606870,"Ron Estes","ron estes",2022
"ca43","ca",623970,"Louise Simson","louise simson",2022
"ca44","ca",640680,"Thomas Hoskins","thomas hoskins",2022
"ca45","ca",691004,"Michael West","michael west",2022
"ca46","ca",609570,"Rebecca Changus","rebecca changus",2022
"ca47","ca",624150,"Summer Shadley","summer shadley",2022
"ca48","ca",630360,"Carol Geyer","carol geyer",2022
"ca49","ca",642540,"Sandra Ayon","sandra ayon",2022
"ca50","ca",691005,"Lynn Mackey","lynn mackey",2022
"ca51","ca",601650,"John Nickerson","john nickerson",2022
"ca52","ca",602850,"Robert Martinez","robert martinez",2022
"ca53","ca",605910,"Dana Eaton","dana eaton",2022
"ca54","ca",606750,"Crystal Castaneda","crystal castaneda",2022
"ca55","ca",607350,"Itoco Garcia","itoco garcia",2022
"ca56","ca",618990,"Charles Miller","charles miller",2022
"ca57","ca",620040,"Harvey Yurkovich","harvey yurkovich",2022
"ca58","ca",620310,"Brent Stephens","brent stephens",2022
"ca59","ca",621600,"Denise Rugani","denise rugani",2022
"ca60","ca",624030,"Helen Rossi","helen rossi",2022
"ca61","ca",625740,"Julie Parks","julie parks",2022
"ca62","ca",626370,"Adam Clark","adam clark",2022
"ca63","ca",628080,"Jeff Palmquist","jeff palmquist",2022
"ca64","ca",628860,"Aida Glimme","aida glimme",2022
"ca65","ca",630600,"Janet Schulze","janet schulze",2022
"ca66","ca",632550,"Kenneth C. Hurst","kenneth hurst",2022
"ca67","ca",635130,"CJ Cammack","cj cammack",2022
"ca68","ca",641250,"Marie Morgan","marie morgan",2022
"ca69","ca",691063,"Jeff Harris","jeff harris",2022
"ca70","ca",610770,"Jeff Harris","jeff harris",2022
"ca71","ca",691006,"Ed Manansala","ed manansala",2022
"ca72","ca",606270,"David Roth","david roth",2022
"ca73","ca",607170,"Meg Enns","meg enns",2022
"ca74","ca",612070,"Michael Kuhlman","michael kuhlman",2022
"ca75","ca",615390,"Deborah Atkins","deborah atkins",2022
"ca76","ca",615450,"Keri Phillips","keri phillips",2022
"ca77","ca",618240,"Grant Coffin","grant coffin",2022
"ca78","ca",620640,"Todd Cutler","todd cutler",2022
"ca79","ca",621180,"Dave Scroggins","dave scroggins",2022
"ca80","ca",625980,"Larry Mahoney","larry mahoney",2022
"ca81","ca",630480,"Patrick Paturel","patrick paturel",2022
"ca82","ca",630780,"Eric Bonniksen","eric bonniksen",2022
"ca83","ca",631290,"Kim Little","kim little",2022
"ca84","ca",632310,"Jim Shoemake","jim shoemake",2022
"ca85","ca",636810,"Kim Little","kim little",2022
"ca86","ca",605240,"Gabriel Simon","gabriel simon",2022
"ca87","ca",691007,"Michele Cantwell-Copher","michele cantwell copher",2022
"ca88","ca",602370,"Mike Iribarren","mike iribarren",2022
"ca89","ca",604860,"Jimmie Eggers","jimmie eggers",2022
"ca90","ca",606540,"Elizabeth Runyon","elizabeth runyon",2022
"ca91","ca",608850,"Judith Szpor","judith szpor",2022
"ca92","ca",609030,"Corrine Folmer","corrine folmer",2022
"ca93","ca",609120,"Johnny Garza","johnny garza",2022
"ca94","ca",614250,"Lindsay Sanders","lindsay sanders",2022
"ca95","ca",614550,"Mao Misty Her","mao misty her",2022
"ca96","ca",619800,"Wesley Sever","wesley sever",2022
"ca97","ca",619830,"Ryan Phelan","ryan phelan",2022
"ca98","ca",619700,"John Campbell","john campbell",2022
"ca99","ca",621150,"Lupe Nieves","lupe nieves",2022
"ca100","ca",628530,"Terry Hirschfield","terry hirschfield",2022
"ca101","ca",629400,"Annette Machado","annette machado",2022
"ca102","ca",629910,"Rafael Iniguez","rafael iniguez",2022
"ca103","ca",630390,"Steve Rosa","steve rosa",2022
"ca104","ca",631680,"Orin Hirschkorn","orin hirschkorn",2022
"ca105","ca",635250,"Dennis Wiechmann","dennis wiechmann",2022
"ca106","ca",636270,"Edward Gomes","edward gomes",2022
"ca107","ca",641460,"Jesus Cruz","jesus cruz",2022
"ca108","ca",642060,"Brian Clark","brian clark",2022
"ca109","ca",642210,"Gary Cunha","gary cunha",2022
"ca110","ca",613840,"Roy Mendiola","roy mendiola",2022
"ca111","ca",607970,"Ketti Davis","ketti davis",2022
"ca112","ca",619490,"Gordon Pacheco","gordon pacheco",2022
"ca113","ca",600022,"Paul Lopez","paul lopez",2022
"ca114","ca",691134,"Felipe Piedra","felipe piedra",2022
"ca115","ca",636805,"Lori Grace","lori grace",2022
"ca116","ca",600040,"Jeff Percell","jeff percell",2022
"ca117","ca",600067,"Orin Hirschkorn","orin hirschkorn",2022
"ca118","ca",601415,"Randy Morris","randy morris",2022
"ca119","ca",691008,"Ryan Bentz","ryan bentz",2022
"ca120","ca",607410,"Tyler Rutledge","tyler rutledge",2022
"ca121","ca",620610,"Chris Mothorn","chris mothorn",2022
"ca122","ca",630870,"Patrick Conklin","patrick conklin",2022
"ca123","ca",631620,"Jeff Ochs","jeff ochs",2022
"ca124","ca",638070,"Emily Pendell","emily pendell",2022
"ca125","ca",642710,"Emmett Koerperich","emmett koerperich",2022
"ca126","ca",600045,"Victor Perry","victor perry",2022
"ca127","ca",601339,"Jeremy Powell","jeremy powell",2022
"ca128","ca",691009,"Michael Davies-Hughes","michael davies hughes",2022
"ca129","ca",603000,"Luke Biesecker","luke biesecker",2022
"ca130","ca",603030,"Roger Macdonald","roger macdonald",2022
"ca131","ca",604890,"Christine Ng","christine ng",2022
"ca132","ca",605400,"DeAnn Waldvogel","deann waldvogel",2022
"ca133","ca",606000,"John Blakely","john blakely",2022
"ca134","ca",610230,"Blaine Sigler","blaine sigler",2022
"ca135","ca",610380,"Becky MacQuarrie","becky macquarrie",2022
"ca136","ca",613740,"Wendy Orlandi","wendy orlandi",2022
"ca137","ca",614190,"Clint Duey","clint duey",2022
"ca138","ca",614520,"Si Talty","si talty",2022
"ca139","ca",614910,"Michael Quinlan","michael quinlan",2022
"ca140","ca",615990,"Teresa Mondragon","teresa mondragon",2022
"ca141","ca",618120,"Kevin Trone","kevin trone",2022
